"id","title","product_type","product_tags","product_collections","image_url"
14976,"Zorelle|Trucotton Midi Length Milkmaid Dress","Dress","Colour:Purple, Fabric:Cotton, Gender:Women, GID_VWWDR24352144, GroupID:VWWDR24352144, Print:Solid, StyleID:VWWDR2435214401","ALL COLLECTIONS, Casual Essentials, Cotton Collection, Earth-friendly Fabrics, Flash Sale, Inventory, Kalki Koechlin | Shop The Look, Natural Fabrics, The Galentines Brunch","https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0369_2_512x.jpg?v=1738911926"
14977,"Abril|Trucotton Embroidery Detail Midi Dress","Dress","Colour:Pink, Fabric:Cotton, Gender:Women, GID_VWWDR24352145, GroupID:VWWDR24352145, Print:Embroidery, StyleID:VWWDR2435214502","ALL COLLECTIONS, All Dresses, Casual Essentials, Chasing Butterflies, Cotton Collection, Date Ready, Dresses, Dresses veronica, Earth-friendly Fabrics, Flash Sale, Inventory, Just In!, Kalki Koechlin | Shop The Look, Kiss & Tell, Natural Fabrics, Pink Bloom, Pink Snow, The Galentines Brunch, The Virgio Promise, Unstoppably You!","https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB4_111ad1b5-c2e7-4b36-ac41-1ce468423186_512x.jpg?v=1739277317"
14978,"Jayden|Blue Straight Flared Denims","Jeans","Colour:Blue, Fabric:Cotton, Gender:Women, GID_VWWJE25010274, GroupID:VWWJE25010274, Print:Solid, StyleID:VWWJE2501027401","Academic Edge, ALL COLLECTIONS, Bottom wear, Bottomwear veronica, Brunch Ready, Casual Essentials, Cotton Collection, Date Ready, Earth-friendly Fabrics, Flash Sale, Inventory, Just In!, Kalki Koechlin | Shop The Look, Lounge Wear, Midnight Sapphire, Mystic Blue, Natural Fabrics, Snug Season, Soft Romance, The Boyfriend's Hoodie, The Denim Drop, trousers, Vacation Vibe","https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB8_fcda8e23-c2a4-4c5d-8c31-1faf75d8d5a0_1600x.jpg?v=1739270355"
14980,"Renata|Blue Strappy Midi Dress","Dress","Colour:Blue, Fabric:Cotton, Gender:Women, GID_VWWDR24352145, GroupID:VWWDR24352145, Print:Embroidery, StyleID:VWWDR2435214501","ALL COLLECTIONS, All Dresses, Casual Essentials, Cotton Collection, Date Ready, Dresses, Dresses veronica, Earth-friendly Fabrics, Flash Sale, Inventory, Just In!, Kalki Koechlin | Shop The Look, Midnight Sapphire, Mystic Blue, Natural Fabrics, The Bloom Collective, The Galentines Brunch, The Virgio Promise, Unstoppably You!, Vacation Vibe","https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB2_f7472dc7-88a4-447c-afa9-1c38fc2a7eda_1600x.jpg?v=1739271372"
14981,"Elyanna|Off-Shoulder Sweatshirt","Top","Colour:Tan, Fabric:Cotton, Gender:Women, GID_VWWSS24474057, GroupID:VWWSS24474057, Print:Solid, StyleID:VWWSS2447405701","Academic Edge, ALL COLLECTIONS, Casual Essentials, Cotton Collection, Date Ready, Earth-friendly Fabrics, Flash Sale, Jackets, Just In!, Kalki Koechlin | Shop The Look, Lounge Wear, Natural Fabrics, Snug Season, The Boyfriend's Hoodie, The Virgio Promise","https://cdn.shopify.com/s/files/1/0785/1674/8585/files/web3_4c3551ed-70e4-4961-85e4-38b010323ffd_512x.jpg?v=1739269261"
14982,"Ayla Shorts|Pink Pull-On Shorts","Shorts","Colour:Pink, Fabric:Cotton, Gender:Women, GID_VWWSO24474040, GroupID:VWWSO24474040, Print:Self Design, StyleID:VWWSO2447404002","Academic Edge, ALL COLLECTIONS, Bottomwear veronica, Casual Essentials, Cotton Collection, Date Ready, Flash Sale, Inventory, Just In!, Kiss & Tell, Lounge Wear, Natural Fabrics, Pink Bloom, Pink Snow, Shorts, Skirts | Shorts, Snug Season, The Boyfriend's Hoodie, The Virgio Promise","https://cdn.shopify.com/s/files/1/0785/1674/8585/files/1_VWWSO2447404002_6e37c57f-35ef-4492-9e76-5c68d25af648_512x.jpg?v=1745851428"
14983,"Pola Shorts|Blue Pull-On Shorts","Shorts","Colour:Blue, Fabric:Cotton, Gender:Women, GID_VWWSO24474040, GroupID:VWWSO24474040, Print:Self Design, StyleID:VWWSO2447404001","Academic Edge, ALL COLLECTIONS, Bottom wear, Bottomwear veronica, Casual Essentials, Cotton Collection, Date Ready, Earth-friendly Fabrics, Flash Sale, Inventory, Just In!, Kalki Koechlin | Shop The Look, Lounge Wear, Midnight Sapphire, Mystic Blue, Natural Fabrics, Shorts, Snug Season, The Boyfriend's Hoodie, The Galentines Brunch, The Virgio Promise",""
14984,"Ayla Hoodie|Cropped Boxy Pink Hoodie","Top","Colour:Pink, Fabric:Cotton, Gender:Women, GID_VWWSS24474040, GroupID:VWWSS24474040, Print:Self Design, StyleID:VWWSS2447404002","Academic Edge, ALL COLLECTIONS, Casual Essentials, Cotton Collection, Date Ready, Earth-friendly Fabrics, Flash Sale, Inventory, Jackets, Just In!, Kalki Koechlin | Shop The Look, Kiss & Tell, Lounge Wear, Natural Fabrics, Pink Bloom, Pink Snow, Snug Season, The Boyfriend's Hoodie, The Virgio Promise","https://cdn.shopify.com/s/files/1/0785/1674/8585/files/1_VWWSS2447404002_f048c4db-f9e2-419d-ad99-020cb5a92a10_512x.jpg?v=1745851427"
14985,"Palmira Shirt|Rescued Polyester Abstract Print Shirt","Shirt","Colour:Teal, Fabric:Rescued Fabric, Gender:Women, GID_VWWSH24346949, GroupID:VWWSH24346949, Print:Abstract, StyleID:VWWSH2434694901","ALL COLLECTIONS, Earth-friendly Fabrics, Flash Sale, Inventory, Kalki Koechlin | Shop The Look, Shirts and Blouses, The Classic Edit, The White Lotus","https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0064_3_3d36854f-b9ee-4665-aae0-6cc8805b77a2_512x.jpg?v=1748851200"
14987,"Paz Top|Rescued Polyester Abstract Print Top","Top","Colour:Teal, Fabric:Rescued Fabric, Gender:Women, GID_VWWTO24346945, GroupID:VWWTO24346945, Print:Abstract, StyleID:VWWTO2434694502","ALL COLLECTIONS, Flash Sale, Inventory, The White Lotus, Tops, Topwear, Topwear veronica","https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0004_6_512x.jpg?v=1737629516"
